Location(x=5.072814, y=79.441719, z=0.158620)
Location(x=-34.727669, y=-20.044735, z=0.158620)
Location(x=-118.625648, y=101.120972, z=0.158620)
Location(x=27.682676, y=78.439835, z=0.158620)
Location(x=44.214115, y=5.842381, z=0.158620)
Location(x=-34.765476, y=-8.417212, z=0.158620)
Location(x=50.539097, y=-50.083622, z=0.158620)
Location(x=-35.692947, y=146.921417, z=0.158620)
Location(x=-19.042072, y=149.643982, z=0.158921)
Location(x=117.965454, y=63.508347, z=0.158620)
Location(x=-124.011383, y=2.916943, z=0.158620)
Location(x=-123.123322, y=57.076969, z=0.158620)
Location(x=60.816673, y=148.483231, z=0.158620)
Location(x=89.912003, y=96.711227, z=0.158620)
Location(x=-41.693905, y=-78.584213, z=0.158620)
Location(x=111.908951, y=-46.928391, z=0.158620)
Location(x=-32.724575, y=-40.153954, z=0.158620)
Location(x=-2.526636, y=58.519302, z=0.158620)
Location(x=112.531311, y=113.799118, z=0.158620)
Location(x=-121.143814, y=76.574013, z=0.158620)
Location(x=25.748970, y=148.637024, z=0.158620)
Location(x=116.913208, y=41.867287, z=0.158620)
Location(x=-59.410122, y=-2.290174, z=0.158620)
Location(x=-22.094204, y=79.868874, z=0.158620)
Location(x=-94.219780, y=-22.934990, z=0.158620)
Location(x=-4.559363, y=6.791133, z=0.158620)
Location(x=80.885811, y=4.476270, z=0.158620)
Location(x=-123.493637, y=19.799034, z=0.158620)
Location(x=69.066231, y=77.182602, z=0.158620)
Location(x=89.438141, y=55.909866, z=0.158620)
Location(x=110.353439, y=115.711052, z=0.158620)
Location(x=116.113022, y=72.185097, z=0.158620)
Location(x=48.968575, y=6.790495, z=0.158620)
Location(x=-30.088636, y=-74.670807, z=0.158620)
Location(x=25.536457, y=-51.034893, z=0.158620)
Location(x=-16.228453, y=36.108070, z=0.158620)
Location(x=-32.857323, y=48.225464, z=0.158620)
Location(x=3.048800, y=125.278992, z=0.158620)
